chromosome	n_eur_original	n_eas_original	n_shared_raw	n_shared	n_allele_incompatible_excluded	n_source_bp_different	n_eas_allele_reversed	source_order_different	eur_original_order_sha256	paired_order_sha256	status	eur_bfile_prefix	eas_bfile_prefix
1	779354	691530	491084	491084	0	0	73381	False	4b9503799e8c937982330e7d0a3bbf0b8cac22c6a5ff93b0b57e3f1c77714348	4b9503799e8c937982330e7d0a3bbf0b8cac22c6a5ff93b0b57e3f1c77714348	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.1	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.1
2	839590	731373	520990	520990	0	0	83442	False	65dd5fe57fc3c963790d8cc316a92626d5fd73e3eb525c19387a83601af96562	65dd5fe57fc3c963790d8cc316a92626d5fd73e3eb525c19387a83601af96562	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.2	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.2
3	706350	629922	452821	452821	0	0	65470	False	46aabda09c2da897c5b8ff931b3e6be4a9e09bbb7254852523d5de387d391674	46aabda09c2da897c5b8ff931b3e6be4a9e09bbb7254852523d5de387d391674	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.3	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.3
4	729645	638260	467274	467274	0	0	64686	False	e56bffefe787e68f5955563b7ef6018576a29ef5ea6f91915cb76dcb138462b8	e56bffefe787e68f5955563b7ef6018576a29ef5ea6f91915cb76dcb138462b8	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.4	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.4
5	633015	551673	392944	392944	0	0	59931	False	ad437682efb6a64714bae9d6a513efaf71d768fbd1d27011675f30aabccd3c6b	ad437682efb6a64714bae9d6a513efaf71d768fbd1d27011675f30aabccd3c6b	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.5	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.5
6	664016	590664	432823	432823	0	0	59640	False	98d5b998704960036e30eede4147bd7a1149cabc3be88053fa8edf936b049fb0	98d5b998704960036e30eede4147bd7a1149cabc3be88053fa8edf936b049fb0	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.6	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.6
7	589569	516848	376090	376090	0	0	55133	False	d217c035f955fc06b17e799f5d7e4edd2f5ac480410141f5c57ba0da4eb26b88	d217c035f955fc06b17e799f5d7e4edd2f5ac480410141f5c57ba0da4eb26b88	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.7	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.7
8	549971	474763	340744	340742	2	0	50477	False	22879ab7595a75cae6dd33fb1e89fbc72907069b9f525aa067062ea7c234b1f0	22879ab7595a75cae6dd33fb1e89fbc72907069b9f525aa067062ea7c234b1f0	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.8	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.8
9	438106	385369	276684	276683	1	0	40641	False	496583ae48025b0ba21658002dc249f8aa41d7095b8f3c2bf852b4319861ffe6	496583ae48025b0ba21658002dc249f8aa41d7095b8f3c2bf852b4319861ffe6	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.9	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.9
10	510501	446216	321568	321568	0	0	48682	False	b2797e2b9d2ac258be2a07357bb1f591f4871563229452069d797190d31699f7	b2797e2b9d2ac258be2a07357bb1f591f4871563229452069d797190d31699f7	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.10	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.10
